N,Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,Average,Volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
73,CIPLA,EQ,21-Apr-20,585.4,578,609.8,570,587.85,592.1,597.51,14471886,8647157437,234920,2536423,17.53
74,CIPLA,EQ,22-Apr-20,592.1,594.9,599.75,585,589,587.2,592.25,6182389,3661548160,105276,971012,15.71
75,CIPLA,EQ,23-Apr-20,587.2,590,603.9,579.05,589,586.7,592.87,6277909,3721988288,120788,936868,14.92
76,CIPLA,EQ,24-Apr-20,586.7,586.4,606,583.6,595.55,599.3,598.9,11127892,6664525197,185533,2594106,23.31
77,CIPLA,EQ,27-Apr-20,599.3,600,632.65,600,610,608.7,617.79,14089884,8704616727,210013,2239784,15.9
78,CIPLA,EQ,28-Apr-20,608.7,616.8,621.25,593.25,600.5,598.6,601.05,8193432,4924678826,136856,1437585,17.55
79,CIPLA,EQ,29-Apr-20,598.6,605,607.9,590.1,595.4,596.25,598.23,6767185,4048344367,111221,1014761,15
80,CIPLA,EQ,30-Apr-20,596.25,607.9,611.45,586.1,590,589.6,596.45,9100084,5427778523,162055,2084882,22.91
81,CIPLA,EQ,04-May-20,589.6,589,616.95,580.6,611.5,611.85,608.16,16816196,10226896214,300922,2888660,17.18
82,CIPLA,EQ,05-May-20,611.85,623.05,623.05,595,597.4,596.9,607.46,9257197,5623333826,141932,1515597,16.37
83,CIPLA,EQ,06-May-20,596.9,597.5,606,590,591.45,591.75,595.56,6979140,4156487025,132415,1537317,22.03
84,CIPLA,EQ,07-May-20,591.75,598,601.8,587.5,591,589.55,594.92,4620871,2749062637,99690,1005053,21.75
85,CIPLA,EQ,08-May-20,589.55,598,601.2,589.5,592.55,591.9,593.86,5051381,2999819151,90641,1333120,26.39
86,CIPLA,EQ,11-May-20,591.9,600.95,600.95,583.45,587.75,586.05,590.66,5853898,3457665384,126091,976160,16.68
87,CIPLA,EQ,12-May-20,586.05,587,593.8,566.2,570.5,570.15,575.39,8868988,5103089279,176690,2929411,33.03
88,CIPLA,EQ,13-May-20,570.15,600,605,568.9,571.5,570.2,576.12,10438684,6013921179,174508,2512243,24.07
89,CIPLA,EQ,14-May-20,570.2,571,577.9,566.1,570,569.75,571.23,8546052,4881773765,159643,2325110,27.21
90,CIPLA,EQ,15-May-20,569.75,572,585,565.6,566.8,570.3,573.77,14388640,8255822497,184285,2105224,14.63
91,CIPLA,EQ,18-May-20,570.3,570.6,605,570.5,601.75,600.45,590.8,22898149,13528325423,365585,3994819,17.45
92,CIPLA,EQ,19-May-20,600.45,600,608.8,590.2,593.55,594.95,599.39,10952723,6564908742,156026,1201031,10.97
93,CIPLA,EQ,20-May-20,594.95,597,624.35,595.4,621,620.65,612.16,13441070,8228127113,194557,2440228,18.16
94,CIPLA,EQ,21-May-20,620.65,620.65,626.85,612.3,617,616.6,619.17,7916847,4901908426,115197,1469214,18.56
95,CIPLA,EQ,22-May-20,616.6,616.7,641.85,610.1,637,639.35,627.89,10875625,6828715775,147573,2106119,19.37
96,CIPLA,EQ,26-May-20,639.35,640,646.9,624.05,628.8,627.7,635.07,8859499,5626360826,122726,2046880,23.1
